Location	County/Zone	St.	Date	Time	T.Z.	Type	Mag	Dth	Inj	PrD	CrD
ACCOMACK (ZONE)	ACCOMACK (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		1	0	0.00K	0.00K
PRINCE GEORGE (ZONE)	PRINCE GEORGE (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		1	0	6.000M	3.700M
SUSSEX (ZONE)	SUSSEX (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
LANCASTER (ZONE)	LANCASTER (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
JAMES CITY (ZONE)	JAMES CITY (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	45.000M	46.00K
ISLE OF WIGHT (ZONE)	ISLE OF WIGHT (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		1	0	0.00K	0.00K
GLOUCESTER (ZONE)	GLOUCESTER (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	8.000M	2.500M
ESSEX (ZONE)	ESSEX (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	20.000M	100.00K
CHESAPEAKE (ZONE)	CHESAPEAKE (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	28.000M	2.000M
YORK (ZONE)	YORK (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	133.000M	125.00K
WESTMORELAND (ZONE)	WESTMORELAND (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	450.00K
VIRGINIA BEACH (ZONE)	VIRGINIA BEACH (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	39.000M	400.00K
SURRY (ZONE)	SURRY (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
SUFFOLK (ZONE)	SUFFOLK (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	31.000M	2.000M
RICHMOND (ZONE)	RICHMOND (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
NORTHUMBERLAND (ZONE)	NORTHUMBERLAND (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
NORTHAMPTON (ZONE)	NORTHAMPTON (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
NORFOLK (ZONE)	NORFOLK (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	10.000M	0.00K
NEWPORT NEWS (ZONE)	NEWPORT NEWS (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	157.000M	300.00K
MIDDLESEX (ZONE)	MIDDLESEX (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	14.000M	2.000M
MATHEWS (ZONE)	MATHEWS (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	21.000M	1.000M
NEW KENT (ZONE)	NEW KENT (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		1	0	0.00K	0.00K
SOUTHAMPTON (ZONE)	SOUTHAMPTON (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
CHARLES CITY (ZONE)	CHARLES CITY (ZONE)	VA	9/18/2003	8:00	EST	Hurricane (typhoon)		0	0	0.00K	0.00K
CUMBERLAND (ZONE)	CUMBERLAND (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	28.00K	0.00K
WAYNE (ZONE)	WAYNE (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	436.00K	0.00K
WARREN (ZONE)	WARREN (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	270.00K	0.00K
WILSON (ZONE)	WILSON (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	1.200M	0.00K
GRANVILLE (ZONE)	GRANVILLE (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	254.00K	0.00K
NASH (ZONE)	NASH (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	809.00K	0.00K
VANCE (ZONE)	VANCE (ZONE)	NC	9/18/2003	9:00	EST	Hurricane (typhoon)		0	0	369.00K	0.00K
